id,category,title,content,source,url
11,課程資訊,漢語結構,"漢語結構課程為華語教學組的必修課程。課程介紹華語基本結構知識, 討論華語與其他語言的主要相同及相異之處, 並共同尋求可能的解釋。",課程地圖,https://linguist.ccu.edu.tw/var/file/232/1232/img/1560/905446826.pdf
12,課程資訊,手語語言學,手語語言學課程為碩士班手語組的必修課程。課程主要探討手語語言學的議題，探討的主題包含手語詞彙的組成成分、手語的造詞策略、以及手語的語法結構，例如語法關係的表達方式、空間關係的表達方式、程度、方式、時貌的表達方式、否定句、疑問句、比較句與手語的臉部表情等議題。同學可以從這門課中學習到手語語言學的分析方法、手語語料的蒐集方法，並認識台灣手語的基本語法結構。,課程地圖,https://linguist.ccu.edu.tw/var/file/232/1232/img/1560/168183703.pdf
13,課程資訊,語言學的理論與實證基礎,語言學的理論與實證基礎課程為博班的必修課程。課程基於已經具備語言學理論與分析的經驗。而課程將把這些經驗放入哲學和歷史的脈絡中，並抽樣探討建構這些理論與分析的多種不同實證方法。,課程地圖,https://linguist.ccu.edu.tw/var/file/232/1232/img/1560/227794358.pdf
14,課程資訊,選修課程,選修課程的會根據選擇領域而不同。可先看自己的組別，以及參考課程地圖以及當學期課表去選擇有興趣的課。,課程地圖,https://linguist.ccu.edu.tw/p/412-1232-2861.php?Lang=zh-tw
15,組別資訊,一般語言學組介紹,一般語言學組的研究範圍相當多元，主要關注人類語言的結構、意義、使用與變化。其下可進一步分為不同的細分領域，例如語音學、音韻學、形態學、句法學、語意學、語用學、社會語言學、心理語言學與語料庫語言學等。不同領域雖然研究重點各有差異，但共同目標皆在於理解語言如何被組成、理解、使用，並與認知、社會及文化脈絡產生關聯。近年來，語言學研究也逐漸結合數位工具、語料分析與 AI 技術，應用於語言資料整理、語言學習輔助、教材設計與教學策略調整。因此，一般語言學不僅重視語言本身的理論分析，也能延伸至科技應用與語言教育實務。,課程地圖,https://linguist.ccu.edu.tw/var/file/232/1232/img/1560/847433443.pdf
16,組別資訊,華語教學組介紹,華語教學組主要關注華語作為第二語言或外語的學習、教學與應用，涵蓋華語語音教學、詞彙與語法教學、閱讀與寫作教學、聽說訓練、教材編寫、課程設計、測驗與評量、跨文化溝通與學習者語料分析等領域。除了課堂教學本身，華語教學也可延伸至對外華語推廣、華語教學人才培育，以及教育部相關對外華語計畫等實務方向。整體而言，華語教學組強調將語言知識、學習者需求與教學目標轉化為具體的教材設計、課程規劃與教學策略。,課程地圖,https://linguist.ccu.edu.tw/var/file/232/1232/img/1560/905446826.pdf
17,組別資訊,手語語言學組介紹,手語語言學組主要關注手語作為自然語言的結構、使用與社會文化意義，涵蓋手形、動作、位置、臉部表情、非手部標記、手語語法、語意、語用、聾人文化與手語翻譯等面向。此領域部分學習者可能具有手語翻譯及手語教育等相關背景，因此不僅重視語言學理論，也連結溝通實務、資訊近用與語言平權。隨著臺灣手語被納入國家語言，並有政府與學術單位建置臺灣手語辭典、教學資源與相關課程，手語語言學也可延伸至手語教學、翻譯培訓、教材設計與友善溝通環境的建構。,課程地圖,https://linguist.ccu.edu.tw/var/file/232/1232/img/1560/168183703.pdf
18,入學資訊,入學申請資料,申請本研究所通常需要準備報名表、自傳或讀書計畫、大學或研究所歷年成績單、推薦信，以及有助於審查的作品或研究成果。實際項目應以當年度招生簡章為準。,招生簡章,https://exams.ccu.edu.tw/app/index.php
19,入學資訊,口試準備方向,口試可能會詢問報考動機、過去學習經驗、研究興趣、未來規劃，以及對本所課程與教師研究方向的理解。建議考生事先閱讀教師介紹、課程規劃與自己的研究計畫。,招生 FAQ,https://linguist.ccu.edu.tw/p/412-1232-2912.php?Lang=zh-tw
20,入學資訊,跨領域學生申請說明,本所歡迎不同背景學生申請。跨領域學生可在備審資料中說明過去背景如何連結語言研究、教學應用或語言科技，並具體描述入學後想補強的能力與研究方向。,招生 FAQ,https://linguist.ccu.edu.tw/p/412-1232-2912.php?Lang=zh-tw
21,畢業規則,碩士班畢業條件,碩士班學生須完成規定學分（請參考組別的規定）、通過論文口試，並依學校與系所規定完成論文修改、上傳與離校程序後，方可畢業。實際畢業條件應以最新研究生手冊與系所公告為準。,研究生手冊,https://linguist.ccu.edu.tw/p/412-1232-2677.php?Lang=zh-tw
22,畢業規則,論文口試流程,研究生應先與指導教授確認論文題目與口試時程，於規定期限內提出口試申請，準備論文初稿與相關表件。口試通過後，學生須依委員意見修改論文並完成離校手續。,研究生手冊,https://linguist.ccu.edu.tw/p/412-1232-2677.php?Lang=zh-tw
23,畢業規則,指導教授選定,學生通常應於入學後依系所規定時間內選定指導教授。選擇指導教授時，可參考教師研究方向、課程經驗、研究方法與自己的論文興趣是否相符。,研究生手冊,https://linguist.ccu.edu.tw/p/412-1232-2677.php?Lang=zh-tw
24,新生資訊,新生選課建議,新生可先修習基礎理論課程與方法課程，再依研究興趣選擇語言科技、華語教學或理論語言學相關課程。若尚未確定方向，可先旁聽不同領域課程並與老師討論。,新生手冊,https://linguist.ccu.edu.tw/p/412-1232-2624.php?Lang=zh-tw
25,新生資訊,如何尋找研究方向,新生可從過去修課經驗、專題作品、感興趣的語言現象、未來職涯方向與教師研究領域出發，逐步收斂研究主題。建議閱讀歷屆論文題目並與相關老師討論。,新生手冊,https://linguist.ccu.edu.tw/p/412-1232-2649.php?Lang=zh-tw
26,其他資源,助教與研究助理機會,本所學生可依教師研究計畫、課程需求或系所公告申請助教與研究助理機會。工作內容可能包含課程協助、資料整理、語料標註、問卷處理與活動支援。,系所公告,https://linguist.ccu.edu.tw/p/412-1232-2639.php?Lang=zh-tw
27,其他資源,實習與職涯發展,華語教學組實習課程要求學生完成至少 72 小時實習，實習場域包含本校華語教學研究中心、校內外籍生華語課、對外華語課程，以及國內外合格華語教學機構。學生可擔任華語課程教學助理，協助課堂觀察、教材準備與教學活動進行，並於一學期內至少一次上台實際教學。除校內實習外，也可至泰國曼谷你好中文學校、美國 MandarinFun 暑期營，或申請由教育部轉發之國外大學華語教學實習機會。整體而言，此實習課程需求重視教學現場經驗，協助學生將華語教學理論、學習者需求分析與教學策略轉化為實際授課能力。,華語實習,"https://linguist.ccu.edu.tw/p/405-1232-34289,c2700.php?Lang=zh-tw"
28,一般問題,什麼是語言學,語言學是研究人類語言如何形成、運作、理解與使用的學科，關注語音、詞彙、句法、語意、語用以及語言與社會、文化、認知之間的關係。許多人容易誤以為語言學就是「學很多外語」，但語言學並不等同於語言學習，而是重視如何分析語言現象、解釋語言規則，並理解不同語言之間的共通性與差異。整體而言，語言學是一門結合理論分析、資料觀察與實際應用的學科。,語言學知識,https://linguist.ccu.edu.tw/p/412-1232-2881.php?Lang=zh-tw
29,一般問題,中正語言所的特色,中正語言所的特色在於研究方向多元，不僅重視句法學、音韻學等理論語言學，也提供應用與跨領域研究的發展空間。本所設有一般語言學組、華語教學組與手語語言學組，學生可依興趣選擇不同方向。一般語言學組涵蓋心理語言學、認知語言學、統計語言學、計算語言學與語料庫語言學等領域；華語教學組以語言學為基礎，培養學生分析華語規則與教學實務的能力；手語語言學組則以語言學角度探討手語，進一步理解手語結構、聾人語言與文化。,系所資訊,https://linguist.ccu.edu.tw/p/412-1232-2881.php?Lang=zh-tw
30,一般問題,語言所的聯絡方式,有任何問題，想詢問語言所辦公室請撥(05)272-0411 轉 21501，或 email 至 linguist@ccu.edu.tw,系所資訊,https://linguist.ccu.edu.tw/
31,一般問題,讀幾年可以畢業,畢業時間是依據個人學習以及論文書寫狀況，以及在研究所的時間安排等綜合因素。若參考大部分學長姐的狀況。在中正語言所，大部分的學長姐通常都是讀 2 到 3 年之間，研究所一年級進來會有導師，但通常是二年級開始才能選指導教授，因此可以多修課看自己適合什麼,系所資訊,https://linguist.ccu.edu.tw/p/412-1232-2918.php?Lang=zh-tw
32,畢業規則,是否需要英文檢定,中正語言所的碩士班，只需要一次口試以及論文，而博士班則需要先通過資格考，並且論文加上口試，方可畢業。若是個人想要投期刊、參與研討會，或是考英文檢定，都是非常好的精進自己的方法,課程地圖,https://linguist.ccu.edu.tw/p/412-1232-2861.php?Lang=zh-tw
33,一般問題,職涯發展,語言所畢業後的發展方向多元，可依興趣與專長選擇繼續深造、教學實務、學術研究或跨領域應用等路徑。畢業生可攻讀語言學、華語教學、手語語言學、教育、語言治療或其他相關博士學位；也可於大專校院、中小學、語言中心、華語中心或其他語言教學機構從事語言教學。其中，對外華語教學也提供海外工作機會，例如至海外學校、華語中心或相關教育機構擔任華語教學老師。此外，也可在學術研究機構從事語言學及相關研究，或進一步至語言治療系所深造，將語言學知識應用於語言治療與溝通障礙領域；部分訓練亦可延伸至語言資料整理、語料分析、語言測驗、教材內容分析與語言工程等產業應用。若想了解實際職缺，可至 104 人力銀行搜尋「華語教師」、「語言研究助理」、「語言測驗」、「教材編輯」、「語料分析」等關鍵字。,系所資訊,https://linguist.ccu.edu.tw/p/412-1232-2878.php?Lang=zh-tw
34,學位資訊,博士班規定,博士班必須修滿27學分，必修課為語言學的理論與實證基礎，在課程地圖的7大領域中，選一個主修領域至少9學分，以及一個副修領域至少6學分，並通過資格考後，寫完論文加上通過口試，方可畢業。,課程地圖,https://linguist.ccu.edu.tw/p/412-1232-2861.php?Lang=zh-tw
35,學位資訊,碩士班規定,碩士班必須修滿30學分，必修課依組別而不同，一般語言學組需要修音韻學以及語法學，華語教學組必修為漢語結構加上72小時的實習，而手語組則是修習手語語言學，此外，需修習自己的主修領域達9學分，寫完論文加上口試後才可畢業。,課程地圖,https://linguist.ccu.edu.tw/p/412-1232-2861.php?Lang=zh-tw
